Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-912i,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,progress,audio,cont_step
260,1626190188586,13/07/2021 15:29:48,1626190280574,-5,13/07/2021 10:31:20,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,34,50,1,stimuli,Zone1,content_web_audio,243,,,,,0,1,0,,,,,1,vas_bada_task,1,ba-da_003.mp3,3
261,1626190190867,13/07/2021 15:29:50,1626190282916,-5,13/07/2021 10:31:22,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,34,50,2,response,likert,response_rating_scale_likert,2312,,,1,,0,1,0,,,,,1,vas_bada_task,1,ba-da_003.mp3,3
262,1626190191077,13/07/2021 15:29:51,1626190282918,-5,13/07/2021 10:31:22,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,34,50,2,response,continueButton,continue_keyboard,2312,,,,,0,1,0,,,,,1,vas_bada_task,1,ba-da_003.mp3,3
263,1626190191873,13/07/2021 15:29:51,1626190283911,-5,13/07/2021 10:31:23,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,34,50,3,isi,fixation,timelimit_screen,999.859999999986,,,,,0,1,0,,,1,,1,vas_bada_task,1,ba-da_003.mp3,3
264,1626190192025,13/07/2021 15:29:52,1626190283970,-5,13/07/2021 10:31:23,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,25,51,1,stimuli,Zone1,content_web_audio,4,,,AUDIO PLAY REQUESTED,,0,1,0,,,,,1,vas_bada_task,1,ba-da_002.mp3,2
265,1626190192170,13/07/2021 15:29:52,1626190284210,-5,13/07/2021 10:31:24,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,25,51,1,stimuli,Zone1,content_web_audio,244,,,,,0,1,0,,,,,1,vas_bada_task,1,ba-da_002.mp3,2
266,1626190193513,13/07/2021 15:29:53,1626190285584,-5,13/07/2021 10:31:25,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,25,51,2,response,likert,response_rating_scale_likert,1340,,,1,,0,1,0,,,,,1,vas_bada_task,1,ba-da_002.mp3,2
267,1626190193670,13/07/2021 15:29:53,1626190285586,-5,13/07/2021 10:31:25,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,25,51,2,response,continueButton,continue_keyboard,1340,,,,,0,1,0,,,,,1,vas_bada_task,1,ba-da_002.mp3,2
268,1626190194514,13/07/2021 15:29:54,1626190286577,-5,13/07/2021 10:31:26,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,25,51,3,isi,fixation,timelimit_screen,999.859999999986,,,,,0,1,0,,,1,,1,vas_bada_task,1,ba-da_002.mp3,2
269,1626190194697,13/07/2021 15:29:54,1626190286629,-5,13/07/2021 10:31:26,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,56,52,1,stimuli,Zone1,content_web_audio,1,,,AUDIO PLAY REQUESTED,,0,1,0,,,,,1,vas_bada_task,1,ba-da_004.mp3,4
270,1626190194836,13/07/2021 15:29:54,1626190286873,-5,13/07/2021 10:31:26,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,56,52,1,stimuli,Zone1,content_web_audio,244,,,,,0,1,0,,,,,1,vas_bada_task,1,ba-da_004.mp3,4
271,1626190197233,13/07/2021 15:29:57,1626190289319,-5,13/07/2021 10:31:29,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,56,52,2,response,likert,response_rating_scale_likert,2418,,,2,,0,1,0,,,,,1,vas_bada_task,1,ba-da_004.mp3,4
272,1626190197400,13/07/2021 15:29:57,1626190289320,-5,13/07/2021 10:31:29,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,56,52,2,response,continueButton,continue_keyboard,2418,,,,,0,1,0,,,,,1,vas_bada_task,1,ba-da_004.mp3,4
273,1626190198249,13/07/2021 15:29:58,1626190290310,-5,13/07/2021 10:31:30,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,56,52,3,isi,fixation,timelimit_screen,999.859999999986,,,,,0,1,0,,,1,,1,vas_bada_task,1,ba-da_004.mp3,4
274,1626190198571,13/07/2021 15:29:58,1626190290361,-5,13/07/2021 10:31:30,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,87,53,1,stimuli,Zone1,content_web_audio,2,,,AUDIO PLAY REQUESTED,,0,1,0,,,,,1,vas_bada_task,1,ba-da_006.mp3,6
275,1626190198868,13/07/2021 15:29:58,1626190290600,-5,13/07/2021 10:31:30,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,87,53,1,stimuli,Zone1,content_web_audio,242,,,,,0,1,0,,,,,1,vas_bada_task,1,ba-da_006.mp3,6
276,1626190200264,13/07/2021 15:30:00,1626190292288,-5,13/07/2021 10:31:32,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,87,53,2,response,likert,response_rating_scale_likert,1654,,,7,,0,1,0,,,,,1,vas_bada_task,1,ba-da_006.mp3,6
277,1626190200437,13/07/2021 15:30:00,1626190292291,-5,13/07/2021 10:31:32,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,87,53,2,response,continueButton,continue_keyboard,1654,,,,,0,1,0,,,,,1,vas_bada_task,1,ba-da_006.mp3,6
278,1626190201218,13/07/2021 15:30:01,1626190293276,-5,13/07/2021 10:31:33,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,87,53,3,isi,fixation,timelimit_screen,999.859999999986,,,,,0,1,0,,,1,,1,vas_bada_task,1,ba-da_006.mp3,6
279,1626190201515,13/07/2021 15:30:01,1626190293336,-5,13/07/2021 10:31:33,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,40,54,1,stimuli,Zone1,content_web_audio,1,,,AUDIO PLAY REQUESTED,,0,1,0,,,,,1,vas_bada_task,1,ba-da_003.mp3,3
280,1626190201685,13/07/2021 15:30:01,1626190293580,-5,13/07/2021 10:31:33,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,40,54,1,stimuli,Zone1,content_web_audio,245,,,,,0,1,0,,,,,1,vas_bada_task,1,ba-da_003.mp3,3
281,1626190203264,13/07/2021 15:30:03,1626190295324,-5,13/07/2021 10:31:35,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,40,54,2,response,likert,response_rating_scale_likert,1714,,,1,,0,1,0,,,,,1,vas_bada_task,1,ba-da_003.mp3,3
282,1626190203437,13/07/2021 15:30:03,1626190295326,-5,13/07/2021 10:31:35,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,40,54,2,response,continueButton,continue_keyboard,1714,,,,,0,1,0,,,,,1,vas_bada_task,1,ba-da_003.mp3,3
283,1626190204249,13/07/2021 15:30:04,1626190296310,-5,13/07/2021 10:31:36,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,40,54,3,isi,fixation,timelimit_screen,999.859999999986,,,,,0,1,0,,,1,,1,vas_bada_task,1,ba-da_003.mp3,3
284,1626190204435,13/07/2021 15:30:04,1626190296368,-5,13/07/2021 10:31:36,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,105,55,1,stimuli,Zone1,content_web_audio,2,,,AUDIO PLAY REQUESTED,,0,1,0,,,,,1,vas_bada_task,1,ba-da_007.mp3,7
285,1626190204609,13/07/2021 15:30:04,1626190296623,-5,13/07/2021 10:31:36,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,105,55,1,stimuli,Zone1,content_web_audio,256,,,,,0,1,0,,,,,1,vas_bada_task,1,ba-da_007.mp3,7
286,1626190206421,13/07/2021 15:30:06,1626190298491,-5,13/07/2021 10:31:38,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,105,55,2,response,likert,response_rating_scale_likert,1830,,,7,,0,1,0,,,,,1,vas_bada_task,1,ba-da_007.mp3,7
287,1626190206593,13/07/2021 15:30:06,1626190298494,-5,13/07/2021 10:31:38,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,105,55,2,response,continueButton,continue_keyboard,1830,,,,,0,1,0,,,,,1,vas_bada_task,1,ba-da_007.mp3,7
288,1626190207404,13/07/2021 15:30:07,1626190299475,-5,13/07/2021 10:31:39,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,105,55,3,isi,fixation,timelimit_screen,999.8800000000047,,,,,0,1,0,,,1,,1,vas_bada_task,1,ba-da_007.mp3,7
289,1626190207576,13/07/2021 15:30:07,1626190299521,-5,13/07/2021 10:31:39,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,24,56,1,stimuli,Zone1,content_web_audio,1,,,AUDIO PLAY REQUESTED,,0,1,0,,,,,1,vas_bada_task,1,ba-da_002.mp3,2
290,1626190207730,13/07/2021 15:30:07,1626190299756,-5,13/07/2021 10:31:39,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,24,56,1,stimuli,Zone1,content_web_audio,236,,,,,0,1,0,,,,,1,vas_bada_task,1,ba-da_002.mp3,2
291,1626190209579,13/07/2021 15:30:09,1626190301645,-5,13/07/2021 10:31:41,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,24,56,2,response,likert,response_rating_scale_likert,1858,,,1,,0,1,0,,,,,1,vas_bada_task,1,ba-da_002.mp3,2
292,1626190209746,13/07/2021 15:30:09,1626190301648,-5,13/07/2021 10:31:41,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,24,56,2,response,continueButton,continue_keyboard,1858,,,,,0,1,0,,,,,1,vas_bada_task,1,ba-da_002.mp3,2
293,1626190210589,13/07/2021 15:30:10,1626190302642,-5,13/07/2021 10:31:42,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,24,56,3,isi,fixation,timelimit_screen,999.859999999986,,,,,0,1,0,,,1,,1,vas_bada_task,1,ba-da_002.mp3,2
294,1626190210747,13/07/2021 15:30:10,1626190302693,-5,13/07/2021 10:31:42,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,12,57,1,stimuli,Zone1,content_web_audio,2,,,AUDIO PLAY REQUESTED,,0,1,0,,,,,1,vas_bada_task,1,ba-da_001.mp3,1
295,1626190210923,13/07/2021 15:30:10,1626190302936,-5,13/07/2021 10:31:42,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,12,57,1,stimuli,Zone1,content_web_audio,244,,,,,0,1,0,,,,,1,vas_bada_task,1,ba-da_001.mp3,1
296,1626190211782,13/07/2021 15:30:11,1626190303852,-5,13/07/2021 10:31:43,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,12,57,2,response,likert,response_rating_scale_likert,885,,,1,,0,1,0,,,,,1,vas_bada_task,1,ba-da_001.mp3,1
297,1626190211996,13/07/2021 15:30:11,1626190303854,-5,13/07/2021 10:31:43,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,12,57,2,response,continueButton,continue_keyboard,885,,,,,0,1,0,,,,,1,vas_bada_task,1,ba-da_001.mp3,1
298,1626190212767,13/07/2021 15:30:12,1626190304840,-5,13/07/2021 10:31:44,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,12,57,3,isi,fixation,timelimit_screen,999.8600000000442,,,,,0,1,0,,,1,,1,vas_bada_task,1,ba-da_001.mp3,1
299,1626190213001,13/07/2021 15:30:13,1626190304877,-5,13/07/2021 10:31:44,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,78,58,1,stimuli,Zone1,content_web_audio,1,,,AUDIO PLAY REQUESTED,,0,1,0,,,,,1,vas_bada_task,1,ba-da_006.mp3,6
300,1626190213298,13/07/2021 15:30:13,1626190305117,-5,13/07/2021 10:31:45,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,78,58,1,stimuli,Zone1,content_web_audio,239,,,,,0,1,0,,,,,1,vas_bada_task,1,ba-da_006.mp3,6
301,1626190215621,13/07/2021 15:30:15,1626190307646,-5,13/07/2021 10:31:47,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,78,58,2,response,likert,response_rating_scale_likert,2499,,,6,,0,1,0,,,,,1,vas_bada_task,1,ba-da_006.mp3,6
302,1626190215845,13/07/2021 15:30:15,1626190307648,-5,13/07/2021 10:31:47,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,78,58,2,response,continueButton,continue_keyboard,2499,,,,,0,1,0,,,,,1,vas_bada_task,1,ba-da_006.mp3,6
303,1626190216595,13/07/2021 15:30:16,1626190308640,-5,13/07/2021 10:31:48,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,78,58,3,isi,fixation,timelimit_screen,999.8600000000442,,,,,0,1,0,,,1,,1,vas_bada_task,1,ba-da_006.mp3,6
304,1626190216783,13/07/2021 15:30:16,1626190308699,-5,13/07/2021 10:31:48,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,106,59,1,stimuli,Zone1,content_web_audio,2,,,AUDIO PLAY REQUESTED,,0,1,0,,,,,1,vas_bada_task,1,ba-da_007.mp3,7
305,1626190216923,13/07/2021 15:30:16,1626190308950,-5,13/07/2021 10:31:48,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,106,59,1,stimuli,Zone1,content_web_audio,252,,,,,0,1,0,,,,,1,vas_bada_task,1,ba-da_007.mp3,7
306,1626190222294,13/07/2021 15:30:22,1626190314363,-5,13/07/2021 10:31:54,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,106,59,2,response,likert,response_rating_scale_likert,5383,,,7,,0,1,0,,,,,1,vas_bada_task,1,ba-da_007.mp3,7
307,1626190222501,13/07/2021 15:30:22,1626190314366,-5,13/07/2021 10:31:54,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,106,59,2,response,continueButton,continue_keyboard,5383,,,,,0,1,0,,,,,1,vas_bada_task,1,ba-da_007.mp3,7
308,1626190223293,13/07/2021 15:30:23,1626190315356,-5,13/07/2021 10:31:55,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,106,59,3,isi,fixation,timelimit_screen,999.8800000000047,,,,,0,1,0,,,1,,1,vas_bada_task,1,ba-da_007.mp3,7
309,1626190223486,13/07/2021 15:30:23,1626190315410,-5,13/07/2021 10:31:55,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,93,60,1,stimuli,Zone1,content_web_audio,2,,,AUDIO PLAY REQUESTED,,0,1,0,,,,,1,vas_bada_task,1,ba-da_007.mp3,7
310,1626190223627,13/07/2021 15:30:23,1626190315664,-5,13/07/2021 10:31:55,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,93,60,1,stimuli,Zone1,content_web_audio,257,,,,,0,1,0,,,,,1,vas_bada_task,1,ba-da_007.mp3,7
311,1626190225029,13/07/2021 15:30:25,1626190317093,-5,13/07/2021 10:31:57,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,93,60,2,response,likert,response_rating_scale_likert,1394,,,4,,0,1,0,,,,,1,vas_bada_task,1,ba-da_007.mp3,7
312,1626190225185,13/07/2021 15:30:25,1626190317095,-5,13/07/2021 10:31:57,55990,9,task-b3m7,,14288335,5e57286fa270510cf698f38e,4256236,,complete,,60edaf76a30f6fb08dd48608,computer,Desktop or Laptop,Windows 10,Firefox 89.0,1280x720,1280x567,Pass,VAS /ba-da/ ,5,Yes,Pass,Pass,,,order_3,vas_bada,vas_bada,93,60,2,response,continueButton,continue_keyboard,1394,,,,,0,1,0,,,,,1,vas_bada_task,1,ba-da_007.mp3,7
